# ADR-20260719 決定1 の4項目を既存 ADR へ遡及適用した判定結果（#589 / 観測時点 2026-07-26 / HEAD 682e144）
# 判定ルーブリックと方法は docs/development/adr-scope-observation.md を参照。
# 1回目と2回目は同一ルーブリックによる独立判定（バッチ構成のみ変更）。
# 型・主題タグは1回目の判定に基づく。二値=3点以上(該当)/2点以下(非該当)。
ID	主型	副型	主題タグ	1回目_項目1	1回目_項目2	1回目_項目3	1回目_項目4	1回目_合計	1回目_レイヤ4同型	2回目_項目1	2回目_項目2	2回目_項目3	2回目_項目4	2回目_合計	2回目_レイヤ4同型	二値一致
ADR-20260402	構造モデル	配置命名	workflow-design構造	1	1	0	1	3	N	1	1	0	1	3	N	一致(該当)
ADR-20260406	運用手続き	-	レビュー契約所在	1	1	1	1	4	N	1	1	0	1	3	N	一致(該当)
ADR-20260407	運用手続き	-	dev-loop入力パス分岐	0	0	1	1	2	N	0	1	0	1	2	N	一致(非該当)
ADR-20260415	運用手続き	-	DDDレビュー境界判断	0	0	1	1	2	N	0	0	1	1	2	N	一致(非該当)
ADR-20260421	構造モデル	方針宣言	ドメインモデル境界原則	1	1	0	1	3	N	1	1	0	1	3	N	一致(該当)
ADR-20260511	構造モデル	配置命名	ADR運用基盤	1	1	0	0	2	Y	1	1	1	1	4	N	反転(非該当→該当)
ADR-20260513	方針宣言	-	workflow-designスコープ	0	0	0	1	1	N	0	0	0	1	1	N	一致(非該当)
ADR-20260525	運用手続き	-	サブエージェント注入方針	0	1	1	0	2	N	1	1	1	0	3	N	反転(非該当→該当)
ADR-20260525-2	配置命名	運用手続き	サブエージェント配置	1	1	1	0	3	N	1	1	1	0	3	N	一致(該当)
ADR-20260531	方針宣言	-	superpowers委譲	1	1	1	1	4	N	1	1	1	1	4	N	一致(該当)
ADR-20260531-2	方針宣言	構造モデル	principles責務	1	1	0	1	3	N	1	1	0	1	3	N	一致(該当)
ADR-20260601	構造モデル	方針宣言	ドメインモデル境界原則	0	1	0	0	1	Y	1	1	0	1	3	N	反転(非該当→該当)
ADR-20260602	方針宣言	構造モデル	principles責務	1	1	1	1	4	N	1	1	0	1	3	N	一致(該当)
ADR-20260602-2	構造モデル	用語定義	自律度モデル	1	1	1	1	4	N	0	1	0	1	2	N	反転(該当→非該当)
ADR-20260604	配置命名	-	DoR	1	1	1	0	3	N	1	1	0	0	2	Y	反転(該当→非該当)
ADR-20260606	構造モデル	-	保護手段の優先	1	1	1	1	4	N	0	1	0	1	2	N	反転(該当→非該当)
ADR-20260606-2	運用手続き	-	保護手段の優先	0	0	1	1	2	N	0	0	1	1	2	N	一致(非該当)
