# `plugins/adr/skills/manage-adr/references/adr-scoping.md` を被テスト対象とする固定題材集合の期待帰結層。同じディレクトリの cases.md の各題材が導くべき帰結を持つ層であり、判定を担うサブエージェントへは渡らない（渡るのは cases.md の題材文ブロックのみ）。
# 由来の割り当て基準: 初期集合（Issue #605 完了時点で cases.md に在った題材）は `改訂前から在る` とする。`改訂の結果として追加` は、Issue #605 の完了後に adr-scoping.md を改訂して新たに足した題材へ付す。
# したがって #605 完了時点では由来が `改訂前から在る` 側へ縮退し、`改訂の結果として追加` の行は0件だった。これは欠落ではなく上記基準による設計上の帰結であり、その後の改訂に伴って題材を足した時点で2値が分かれた。
# 期待項目は Issue #605 の Task 3b が題材文へ被テスト対象の手続きを適用して導いた。各題材の「導出すべきもの」に対応する項目だけを数値で保持し、それ以外は `-`（不問）とする。合計は項目から導出できるため保持しない。
# 行き先は当初9題材で割れたため、被テスト対象が行き先の分岐の入力として名指しする事実（規範に従う作業者の単複）を題材文の必須要素 (i) として足し、再導出した。再導出では24題材中23題材が一致した。
# 残る割れと、読み次第で値が動く感度は、当該行の備考へ候補値・理由・採った側とともに記録している。被テスト対象は本Issueでは改訂しない。
# 対の相手ID の `NONE` は「対の相手が居ない」ことを表す明示的な記号であり、未記入を意味しない。
# 12列目 `期待_必要条件` は `成立` / `不成立` / `-` のいずれかで、必要条件の成否を測る。
# `-` は必要条件を不問とする記号であり、項目1〜4の `-`（その項目を測らない）とは対象が異なる。
# `不成立` の行では点数を数えないため、期待_項目1〜4 はすべて `-` とし、期待_行き先は一般則の3分岐まで記す。
# 本ファイル先頭の # 行は TSV パーサが解釈しない注記である。機械処理する場合は読み飛ばす。
題材ID	導出すべきもの	期待_項目1	期待_項目2	期待_項目3	期待_項目4	期待_行き先	由来	対の相手ID	出所	備考	期待_必要条件
CASE-01	発見型短絡が適用されて項目1・項目2 の評価を要さない経路を通るか、4項目すべてを評価する経路を通るか	-	-	-	-	ADR化しない/実装・テスト資産・操作手順	改訂前から在る	NONE	巡1応答 検証演習（指摘に紐づかない）／最終巡 題材1／sources.md S-01	sources.md §7: 短絡適用時の項目1・項目2 が未特定。短絡経路と非短絡経路（1/1）のどちらを期待とするかは §8 保留事項1。項目3=0・項目4=0・合計2点以下・行き先＝実装・テスト資産 は確定値 【人手導出】独立2名が項目1〜4・合計・行き先のすべてで一致した。 【#721 PR2】必要条件は却下選択肢と却下理由の対を特定できないため不成立。点数欄を不問化し、行き先は現行一般則の3分岐。 B-04: 発見型短絡の規定は現行条文に存続するため据え置き。	不成立
CASE-02	一般則の合計点と命名規約表の例外のどちらが行き先を決めるか	-	1	-	1	ADR化しない/実装・テスト資産・操作手順	改訂前から在る	NONE	巡1レビュー 指摘1／最終巡 題材2／sources.md S-02	確定値は 0/1/0/1＝2点・行き先＝ADR 外（命名規約表の例外）。巡6レビューの期待列は「合計が3点へ届く場合も表が振り分けを決める」という条件文で書かれている点に注意 【人手導出】独立2名が項目1〜4・合計・行き先のすべてで一致した。 【#721 PR2】必要条件は却下選択肢の名指しと却下理由の対が題材文から特定できるかで再導出。成立。	成立
CASE-03	却下理由が採用理由と同じ1文で説明できる場合に条件1 が成立するか除外されるか（行き先第2分岐へ到達するか）	-	-	0	-	ADR化しない/共有規約文書	改訂前から在る	NONE	巡4レビュー 指摘1／最終巡 題材3／sources.md S-03	確定値は 0/1/0/1＝2点・行き先＝共有規約文書。行き先第2分岐の到達性を直接測る題材として位置づけられている 【人手導出】独立2名が項目1〜4・合計・行き先のすべてで一致した。 【#721 PR2】必要条件は却下選択肢の名指しと却下理由の対が題材文から特定できるかで再導出。成立。	成立
CASE-04	決定者が在籍して採用理由を確かめられる時点で、確認可否ゲートが発火するか不発火のまま条件1 の成否を判定するか	-	-	1	-	ADR化する	改訂前から在る	CASE-12	巡2応答 検証演習（指摘に紐づかない）／最終巡 題材4／sources.md S-04	sources.md §7: 項目1・項目2・項目4 が未特定（項目3 の確定値は1点）。CASE-12 と同一の決定へ揃えて書き直したため差は決定者の在籍／離任のみ。項目1・項目2・項目4 の期待値は CASE-12 と一致させる必要がある 【人手導出】独立2名が項目1〜4・合計・行き先のすべてで一致した。 【#721 PR2】必要条件は却下選択肢の名指しと却下理由の対が題材文から特定できるかで再導出。成立。	成立
CASE-05	規範が2資産へ分かれるが採用理由は一方の傍らに置けば足りる場合に、条件3 と0点条項のいずれにも当たらない隙間が残るか	-	-	-	-	ADR化しない/共有規約文書	改訂前から在る	NONE	巡4レビュー 指摘3／最終巡 題材5／sources.md S-05	sources.md §7: 項目1・項目2・項目4 が未特定（項目3 の確定値は0点）。一次資料は項目3 のみを追跡しており他項目の値が一度も示されていない 【人手導出】項目1〜4・合計は独立2名が一致。行き先は、要素 (i)（規範に従う作業者の単複）を題材文へ足す前は `ADR化しない/共有規約文書` と `ADR化しない/PR説明` で割れていた。原因は被テスト対象 140行の第2分岐が「複数の作業者・複数の箇所へ効かせたい規範」と中黒で並べており、選言か連言かが明示されていないこと。(i) を足した後の再導出では独立2名とも選言と読んで一致したが、連言と読むと本題材の行き先は `ADR化しない/PR説明` へ移る。この感度は規範側の一意性の欠陥として集計レポートの帰属分析へ回す。 【#721 PR2】必要条件は却下選択肢と却下理由の対を特定できないため不成立。点数欄を不問化し、行き先は現行一般則の3分岐。	不成立
CASE-06	値域(A) が強制の稼働を問わずに成立して段1で確定するか段2 へ進むか、および警告どまりの検出が項目4 のどちら側へ倒れるか	-	-	-	-	ADR化しない/実装・テスト資産・操作手順	改訂前から在る	NONE	巡4応答 検証9件表（指摘に紐づかない。前身の論点は巡1レビュー §3）／最終巡 題材6／sources.md S-06	sources.md §7: 行き先が未特定（合計1点で2点以下側までは導けるが3分岐のどれかは一次資料に無い）。項目1〜4 の確定値は 0/0/0/1 【人手導出】独立2名が項目1〜4・合計・行き先のすべてで一致した。 【#721 PR2】必要条件は却下選択肢と却下理由の対を特定できないため不成立。点数欄を不問化し、行き先は現行一般則の3分岐。	不成立
CASE-07	値域を満たす保持先が無い決定が段2 へ渡るか、どの段にも渡らず点数が決まらないか	-	-	-	-	ADR化しない/共有規約文書	改訂前から在る	NONE	巡3レビュー 指摘2／最終巡 題材7／sources.md S-07	sources.md §7: 項目1・項目2・項目4 が未特定（項目3 の確定値は0点）。§8 保留事項2（保持先が Issue か作業者の記憶か）については題材文が Issue 側を採っている 【人手導出】項目1〜4・合計は独立2名が一致。行き先は、要素 (i)（規範に従う作業者の単複）を題材文へ足す前は `ADR化しない/共有規約文書` と `ADR化しない/PR説明` で割れていた。原因は被テスト対象 140行の第2分岐が「複数の作業者・複数の箇所へ効かせたい規範」と中黒で並べており、選言か連言かが明示されていないこと。(i) を足した後の再導出では独立2名とも選言と読んで一致したが、連言と読むと本題材の行き先は `ADR化しない/PR説明` へ移る。この感度は規範側の一意性の欠陥として集計レポートの帰属分析へ回す。 【#721 PR2】必要条件は却下選択肢と却下理由の対を特定できないため不成立。点数欄を不問化し、行き先は現行一般則の3分岐。	不成立
CASE-08	採用理由が併記されていない時点で値域(B) が不成立となり段2 の条件1 の成否へ進むか、段1で確定するか	-	-	1	-	ADR化しない/共有規約文書	改訂前から在る	CASE-15	巡5レビュー 指摘1／最終巡 題材8（併記前の時点）／sources.md S-08	sources.md §7: 項目1・項目2・項目4 が未特定（項目3 の確定値は併記前1点）。S-08 を併記前後の2件へ分割した前側であり、CASE-15 とは採用理由の在り処のみが差。他の期待値は CASE-15 と揃える 【人手導出】項目1〜4・合計は独立2名が一致。行き先は、要素 (i)（規範に従う作業者の単複）を題材文へ足す前は `ADR化しない/共有規約文書` と `ADR化しない/PR説明` で割れていた。原因は被テスト対象 140行の第2分岐が「複数の作業者・複数の箇所へ効かせたい規範」と中黒で並べており、選言か連言かが明示されていないこと。(i) を足した後の再導出では独立2名とも選言と読んで一致したが、連言と読むと本題材の行き先は `ADR化しない/PR説明` へ移る。この感度は規範側の一意性の欠陥として集計レポートの帰属分析へ回す。 【#721 PR2】必要条件は却下選択肢の名指しと却下理由の対が題材文から特定できるかで再導出。成立。 B-04: 現行本文で定義が圧縮され測定感度を失ったが、期待_項目3=1は据え置き。	成立
CASE-09	採用理由を判定者が定式化し直せるか決定者が現に用いている言明に固定されるか（条件1 の除外句に当たるかどうか）	-	-	0	-	ADR化しない/共有規約文書	改訂前から在る	CASE-11	巡6レビュー 指摘3-1／最終巡 題材9／sources.md S-09	sources.md §7: 項目1・項目2・項目4 が未特定（項目3 の確定値は0点）。CASE-11 と同一の決定の在籍時点にあたり、AC6 の機構(2) の対として登録した（差は採用理由・却下理由・不利益の内容を確かめられるかの一点のみ） 【人手導出】独立2名が項目1〜4・合計・行き先のすべてで一致した。 【3巡目以降の限界】条件3 の言い換えを落とした際に代替の入力事実を置かなかったため、条件3 の成否を題材文から導けない。本行の導出すべきものは条件1 の除外句であり3層の整合は保たれているが、条件3 を改訂しても本題材の帰結は動かない（感度が無い）。塞ぎ方と追跡は README §11 および #624。 【#721 PR2】必要条件は却下選択肢の名指しと却下理由の対が題材文から特定できるかで再導出。成立。 B-04: 理由の固定先の規定は消滅したが、期待_項目3=0は据え置き。測定感度を失ったため #724 へ送る。CASE-09/CASE-11 対は境界を跨いだ。	成立
CASE-10	条件3 が規範の性質上の広がりを問うか現在の配置を問うか（後から2資産目へ書き足された時点で点数が動くか）	-	-	-	-	ADR化しない/共有規約文書	改訂前から在る	NONE	巡6レビュー 指摘3-2／最終巡 題材10／sources.md S-10	sources.md §7: 項目1・項目2・項目4 が未特定（項目3 の確定値は0点。条件3 の「たまたま分かれている」除外が働く） 【人手導出】項目1〜4・合計は独立2名が一致。行き先は、要素 (i)（規範に従う作業者の単複）を題材文へ足す前は `ADR化しない/共有規約文書` と `ADR化しない/PR説明` で割れていた。原因は被テスト対象 140行の第2分岐が「複数の作業者・複数の箇所へ効かせたい規範」と中黒で並べており、選言か連言かが明示されていないこと。(i) を足した後の再導出では独立2名とも選言と読んで一致したが、連言と読むと本題材の行き先は `ADR化しない/PR説明` へ移る。この感度は規範側の一意性の欠陥として集計レポートの帰属分析へ回す。 【#721 PR2】必要条件は却下選択肢と却下理由の対を特定できないため不成立。点数欄を不問化し、行き先は現行一般則の3分岐。	不成立
